automatic URI	Proposed URI	bookTitle	authorName	collection	id	tfidf
		معرفة الفرق بين الضاد والظاء	أبو بكر محمد بن أحمد الصدفي الإشبيلي المعروف بابن الصابُوني الشاعر (المتوفى: 634هـ)	ShamAY	32015	0.98529
		الاعتماد في نظائر الظاء والضاد	محمد بن عبد الله، ابن مالك الطائي الجياني، أبو عبد الله، جمال الدين (المتوفى: 672ه)	Sham19Y	5368	0.62206
		الاعتماد في نظائر الظاء والضاد	محمد بن عبد الله، ابن مالك الطائي الجياني، أبو عبد الله، جمال الدين (المتوفى: 672هـ)	ShamAY	5368	0.62002
		بغية المرتاد للنطق بالضاد	ابن غانم	ShamAY	37209	0.37293
		الصّحاح [ج ٢]	إسماعيل بن حمّاد الجوهري	Rafed	2874	0.36499
		الصّحاح [ج ١]	إسماعيل بن حمّاد الجوهري	Rafed	2873	0.36107
		أدب الكاتب - ت: محمد محيي الدين	أبو محمد عبدالله بن مسلم بن قتيبة الكوفي المروري الدينوري	ShamAY	33771	0.35959
		الصّحاح [ج ٦]	إسماعيل بن حمّاد الجوهري	Rafed	2883	0.35912
		صوت الضاد الفصيحة التي نزل بها القرآن		ShamAY	36946	0.35894
		أدب الكاتب = أدب الكتاب لابن قتيبة	أبو محمد عبد الله بن مسلم بن قتيبة الدينوري (المتوفى: 276ه)	ShamelaY19	26349	0.35859
		أدب الكاتب = أدب الكتاب لابن قتيبة	أبو محمد عبد الله بن مسلم بن قتيبة الدينوري (المتوفى: 276هـ)	ShamAY	26349	0.35838
		شرح أدب الكاتب لابن قتيبة	موهوب بن أحمد بن محمد بن الخضر بن الحسن، أبو منصور ابن الجواليقى (المتوفى: 540هـ)	ShamAY	1587	0.3582
		الصّحاح [ج ٣]	إسماعيل بن حمّاد الجوهري	Rafed	2875	0.35628
		الصّحاح [ج ٥]	إسماعيل بن حمّاد الجوهري	Rafed	2882	0.35615
		تفسير غريب ما في الصحيحين البخاري ومسلم	محمد بن فتوح بن عبد الله بن فتوح بن حميد الأزدي الميورقي الحَمِيدي أبو عبد الله بن أبي نصر (المتوفى: 488هـ)	ShamAY	7014	0.35448
		أدب الكاتب	ابن قتيبة	Masaha	2345	0.35411
		اشتقاق أسماء الله	عبد الرحمن بن إسحاق البغدادي النهاوندي الزجاجي، أبو القاسم (المتوفى: 337ه)	Sham19Y	14275	0.35296
		مجمع البحرين [ج ١]	الشيخ فخر الدين الطريحي	Rafed	1234	0.34859
		الصّحاح [ج ٤]	إسماعيل بن حمّاد الجوهري	Rafed	2881	0.34778
		المغرب في ترتيب المعرب [ج ٢]	أبي الفتح ناصر الدين المطرّزي	Rafed	2333	0.34775
