automatic URI	Proposed URI	bookTitle	authorName	collection	id	tfidf
		التمهيد والبيان في مقتل الشهيد عثمان	أبو عبد الله محمد بن يحيى بن محمد بن يحيى بن أحمد بن محمد بن بكر الأشعري المالقي الأندلسي (المتوفى: 741هـ)	ShamAY	6649	0.99999
		المسائل العكبرية	الشيخ المفيد	Masaha	4723	0.77849
		عمر بن الخطاب	عبد الرحمن أحمد البكري	ShamAY	34630	0.69175
		الفصول المهمة في معرفة الأئمة(ع) - الجزء1	ابن صباغ المالكي‏	Masaha	2915	0.67456
		 الدرجات الرفيعة في طبقات الشيعة 	 السيد علي خان المدني الشيرازي 	ABLibrary	919	0.64796
		تخريج الفروع على الأصول	محمود بن أحمد بن محمود بن بختيار، أبو المناقب شهاب الدين الزَّنْجاني (المتوفى: 656هـ)	ShamAY	6298	0.64585
		 الكامل في التاريخ 	 ابن الأثير 	ABLibrary	8248	0.64285
		 تذكرة الخواص 	 سبط ابن الجوزي 	ABLibrary	7466	0.63526
		دعوي السفاره في الغيبه الكبري (2)	محمد السند	Ghbook	8423	0.62391
		معارج الوصول إلى معرفة آل الرسول و البتول‏	جمال الدين محمد بن يوسف الزرندي الحنفي‏	Masaha	2855	0.62083
		تذكرة الخواص‏	سبط بن الجوزي‏	Masaha	1954	0.61666
		 مع الركب الحسيني 	 مجموعة مؤلفين 	ABLibrary	7745	0.61594
		 الغارات ( ط . ق ) 	 إبراهيم بن محمد الثقفي الكوفي 	ABLibrary	7898	0.61424
		 محاضرة الأبرار ومسامرة الأخيار 	 ابن عربي 	ABLibrary	8746	0.61407
		المحاسن و المساوي	ابراهيم بن محمد البيهقي	Masaha	2349	0.61172
		فلان وفلانه: كتاب يكشف التزييف والتضليل السياسي في اكثر من مئه روايه من روايات ا...	عبدالرحمن العقيلي	Ghbook	12314	0.61148
		الإمامة و السياسة - الجزء1	ابن قتيبة	Masaha	3372	0.61047
		 الكامل في التاريخ 	 ابن الأثير 	ABLibrary	8247	0.60965
		 كشف الغمة في معرفة الأئمة ( ط . ق ) 	 علي بن أبي الفتح الإربلي 	ABLibrary	7908	0.60568
		شبهات حول الصحابة ذو النورين عثمان	ابن تيمية	ShamAY	37807	0.60514
		تاريخ الإسلام و وفيات المشاهير و الأعلام - الجزء1	شمس الدين الذهبي	Masaha	2238	0.60483
		السقيفة وفدك	أبي بكر أحمد بن عبد العزيز الجوهري البصري البغدادي	Rafed	1350	0.60456
		الجوهرة في نسب الإمام علي وآله	محمّد بن أبي بكر الأنصاري التلمساني [ البرّي ]	Rafed	1730	0.60397
		 نور الأبصار في مناقب آل بيت النبي المختار ( ص ) 	 مؤمن بن حسن مؤمن الشبلنجي 	ABLibrary	7879	0.6027
		الكشف والبيان [ج ٨]	أبو إسحاق أحمد [ الثّعلبي ]	Rafed	1671	0.60188
		 كشف الغمة في معرفة الأئمة ( ط . ق ) 	 علي بن أبي الفتح الإربلي 	ABLibrary	7909	0.60181
		الكشف والبيان [ج ٤]	أبي محمّد بن عاشور	Rafed	1661	0.60177
		 الروح 	 ابن قيم الجوزية 	ABLibrary	8444	0.59882
		الدرجات الرفيعه في طبقات الشيعه	سيد عليخان بن احمد مدني شيرازي حسيني	Ghbook	7062	0.59794
		السقيفة وفدك‏	أحمد بن عبد العزيز الجوهري	Masaha	4550	0.59761
		الفصول المهمة في تأليف الأمة	السيد عبد الحسين شرف الدين	Masaha	670	0.59737
		 التذكرة في أحوال الموتى وأمور الآخرة 	 القرطبي 	ABLibrary	8376	0.59711
