automatic URI	Proposed URI	bookTitle	authorName	collection	id	tfidf
		التوحيد لمحمد عبده	محمد عبده بن حسن خير الله (المتوفى: 1323هـ)	ShamAY	6392	0.33437
		رسالة التوحيد - ط الكتاب العربي	محمد عبده	ShamAY	33867	0.33331
		الكشكول	محمد بن حسين بن عبد الصمد الحارثي العاملي الهمذاني، بهاء الدين (المتوفى: 1031هـ)	ShamAY	1571	0.32817
		 رسالة التوحيد 	 الشيخ محمد عبده 	ABLibrary	8430	0.32638
		التمثيل والمحاضرة	عبد الملك بن محمد بن إسماعيل أبو منصور الثعالبي (المتوفى: 429ه)	Sham19Y	5683	0.326
		النظرات	مصطفى لطفي بن محمد لطفي بن محمد حسن لطفي المَنْفَلُوطي (المتوفى: 1343هـ)	ShamAY	11400	0.32321
		التمثيل والمحاضرة	عبد الملك بن محمد بن إسماعيل أبو منصور الثعالبي (المتوفى: 429هـ)	ShamAY	5683	0.3232
		اشارة السبق	أبو الحسن علي بن الحسن الحلبي	Rafed	1256	0.3231
		مقامات القرني	عائض بن عبدالله القرني :: عائض القرني	ShamAY	34503	0.32156
		رحلة الشتاء والصيف	محمد بن عبد الله بن محمد، من أحفاد شرف الدين بن يحيى الحمزي الحسيني المولوي المعروف بـ كِبْرِيت (المتوفى: 1070هـ)	ShamAY	622	0.32092
		ديوان أحمد شوقي	أحمد شوقي (1285 - 1351 هـ)	ShamAY	37923	0.31956
		مجموعة القصائد الزهديات	أبو محمد عبد العزيز بن محمد بن عبد الرحمن بن عبد المحسن السلمان (المتوفى: 1422هـ)	ShamAY	1268	0.31946
		المساكين	مصطفى صادق بن عبد الرزاق بن سعيد بن أحمد بن عبد القادر الرافعي (المتوفى: 1356هـ)	ShamAY	5418	0.31946
		توحيد المفضل‏	المفضل بن عمر	Masaha	4555	0.3181
		أدب الطلب ومنتهى الأدب	محمد بن علي بن محمد بن عبد الله الشوكاني اليمني (المتوفى: 1250هـ)	ShamAY	6854	0.31779
		إعجاز القرآن والبلاغة النبوية للرافعي	مصطفى صادق بن عبد الرزاق بن سعيد بن أحمد بن عبد القادر الرافعي (المتوفى: 1356هـ)	ShamAY	8506	0.31736
		الحيوان - الجزء1	عمرو بن بحر الجاحظ	Masaha	2972	0.31725
		تفسير من وحي القرآن [ج ١٢]	السيد محمد حسين فضل الله	Rafed	3274	0.31704
		رحلة الشتاء والصيف	محمد بن عبد الله بن محمد، من أحفاد شرف الدين بن يحيى الحمزي الحسيني المولوي المعروف ب كبريت (المتوفى: 1070ه)	ShamelaY19	37345	0.31678
		الوحي المحمدي	محمد رشيد بن علي رضا بن محمد شمس الدين بن محمد بهاء الدين بن منلا علي خليفة القلموني الحسيني (المتوفى: 1354هـ)	ShamAY	1202	0.31578
		ديوان جبران خليل جبران	جبران بن خليل جبران بن ميخائيل بن سعد، من أحفاد يوسف جبران الماروني شاعر لبناني (1300 - 1349 هـ / 1883 - 1931 م)	ShamAY	37946	0.31547
		نصرة الثائر على المثل السائر	صلاح الدين خليل بن أيبك الصفدي (المتوفى: 764ه)	Sham19Y	514	0.31518
